domain,tagSize,tidSize,xdrSize,tagRatio,xdrRatio,tagDistribute,xdrDistribute,upPktSize,downPktSize,upFluxSize,downFluxSize,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_comm
xmkanshu.com,1,1,71,1,0.014084507,1,71,925,824,127111,604965,137.4172973,734.1808252,732076,10310.92958,-1
gnway.cc,1,1,400,1,0.0025,1,400,806,0,45040,0,55.8808933,0,45040,112.6,0
zhulang.com,1,1,35,1,0.028571429,1,35,224,200,51395,42142,229.4419643,210.71,93537,2672.485714,-1
mobtraff.site,1,1,9,1,0.111111111,1,9,43,49,8729,48061,203,980.8367347,56790,6310,-1
tanway.cn,40,1086,84945,1.473296501,13.88423097,27.15,78.21823204,2064496,1175544,159592519,79410608,77.3033801,67.55222093,220076.5442,2813.622073,-1
tiimg.com,3,3,12,3,0.75,1,4,185,182,10848,214562,58.63783784,1178.912088,75136.66667,18784.16667,-1
zt-express.com,12,42,225,3.428571429,7.84,3.5,5.357142857,2365,1928,363491,1026866,153.6959831,532.6068465,33103.7381,6179.364444,-1
fengningguoji.com,1,1,14,1,0.071428571,1,14,971,2602,45641,3596430,47.00411946,1382.179093,3642071,260147.9286,-1
iotts.net,2,11,39,0.363636364,3.102564103,5.5,3.545454545,244,238,20026,66550,82.07377049,279.6218487,7870.545455,2219.897436,1
playcomet.com,1,1,1,1,1,1,1,6,6,906,1343,151,223.8333333,2249,2249,-1
365yg.com,47,67,541,32.97014925,8.297597042,1.425531915,8.074626866,46675,78280,2155471,91478677,46.18041778,1168.608546,1397524.597,173076.0591,-1
idatachina.com,1,10,1589,0.1,0.062932662,10,158.9,9021,8460,1096072,824792,121.5022725,97.49314421,192086.4,1208.85085,1
kkcredit.cn,1,1,4,1,0.25,1,4,41,29,5487,5117,133.8292683,176.4482759,10604,2651,-1
ys7.com,1,1,1,1,1,1,1,9,7,1125,1603,125,229,2728,2728,-1
jimyun.com,1,1,209,1,0.004784689,1,209,1446,1216,248859,140867,172.1016598,115.8445724,389726,1864.717703,-1
99tuan.com.cn,1,1,3,1,0.333333333,1,3,17,16,1961,1520,115.3529412,95,3481,1160.333333,-1
adzcore.com,1,2,9,0.5,0.444444444,2,4.5,59,115,8678,101161,147.0847458,879.6608696,54919.5,12204.33333,-1
hudongcdn.com,1,1,6,1,0.166666667,1,6,62,46,2800,2576,45.16129032,56,5376,896,-1
chongdianguanjia.cn,1,3,103,0.333333333,0.087378641,3,34.33333333,1345,2520,159027,149798,118.2356877,59.44365079,102941.6667,2998.300971,1
tmall.com,64,87,342,47.08045977,22.13157895,1.359375,3.931034483,4670,4227,677769,2080621,145.1325482,492.2216702,31705.63218,8065.467836,-1
abxx6.com,1,1,71,1,0.014084507,1,71,259,165,44204,69704,170.6718147,422.4484848,113908,1604.338028,-1
maoyan.com,3,3,4,3,2.250000001,1,1.333333333,80,64,5692,32214,71.15,503.34375,12635.33333,9476.5,-1
mnqgps.com,6,6,44,6,0.818181818,1,7.333333333,258,177,19910,29118,77.17054264,164.5084746,8171.333333,1114.272727,1
adnxs.com,4,10,50,1.6,2,2.5,5,331,266,56829,97445,171.6888218,366.3345865,15427.4,3085.48,-1
lotte.com,1,1,1,1,1,1,1,9,8,998,2384,110.8888889,298,3382,3382,-1
eyerising.com,2,71,258,0.056338028,19.53875969,35.5,3.633802817,1283,876,117349,112745,91.46453624,128.7043379,3240.760563,891.8372093,1
niuguwang.com,1,1,55,1,0.018181818,1,55,332,290,28362,28993,85.42771084,99.97586207,57355,1042.818182,-1
so.com,19,25,107,14.44,5.841121495,1.315789474,4.28,930,766,157399,304250,169.2462366,397.1932115,18465.96,4314.476636,-1
fleety.com,9,26,1310,3.115384615,0.516030534,2.888888889,50.38461538,68928,52183,5558652,3217841,80.64432451,61.66454592,337557.4231,6699.612977,1
meitudata.com,47,71,1617,31.11267605,3.117501546,1.510638298,22.77464789,50454,101373,2469679,137008698,48.94912197,1351.530467,1964484.183,86257.49969,-1
tinfochina.com,1,1,2,1,0.5,1,2,49,68,2758,79525,56.28571429,1169.485294,82283,41141.5,-1
anxiyun.com,1,1,4,1,0.25,1,4,618,828,29304,1139138,47.41747573,1375.770531,1168442,292110.5,-1
udrig.com,3,3,62,3,0.14516129,1,20.66666667,809,668,143740,218519,177.6761434,327.1242515,120753,5842.887097,-1
1100lu.xyz,1,1,22,1,0.045454545,1,22,683,691,98189,592839,143.761347,857.9435601,691028,31410.36364,-1
g7smart.com,78,4520,246532,1.346017699,82.87118913,57.94871795,54.54247788,8980350,5739347,871181293,388907385,97.00972601,67.76160859,278780.681,5111.258084,-1
windows.com,38,132,533,10.93939394,32.69043152,3.473684211,4.037878788,2659,1887,323206,467279,121.5517112,247.6306306,5988.522727,1483.086304,0
singulariti.io,3,3,11,3,0.818181818,1,3.666666667,141,166,18393,57511,130.4468085,346.4518072,25301.33333,6900.363636,-1
jingytech.com,2,2,172,2,0.023255814,1,86,1587,1267,254949,923139,160.6483932,728.6022099,589044,6849.348837,-1
115.com,1,1,2,1,0.5,1,2,1224,2697,49998,3666205,40.84803922,1359.364108,3716203,1858101.5,-1
jzxfyun.net,2,6,365,0.666666667,0.098630137,3,60.83333333,1957,1249,141535,147004,72.32243229,117.6973579,48089.83333,790.5178082,1
cindasc.com,2,6,43,0.666666667,0.837209302,3,7.166666667,120,156,10084,10466,84.03333333,67.08974359,3425,477.9069767,-1
liivmate.com,1,1,1,1,1,1,1,13,10,2567,5302,197.4615385,530.2,7869,7869,-1
kzt-elc.com,2,3,8,1.333333333,1.125,1.5,2.666666667,73,67,11334,16594,155.260274,247.6716418,9309.333333,3491,-1
nethru.io,1,1,2,1,0.5,1,2,25,16,5544,7374,221.76,460.875,12918,6459,-1
wordpress.com,1,2,4,0.5,1,2,2,17,32,1996,2868,117.4117647,89.625,2432,1216,-1
edaoduo.com,8,42,4464,1.523809524,0.39516129,5.25,106.2857143,41957,40219,2654172,2129778,63.25933694,52.95452398,113903.5714,1071.673387,-1
ppmoney.com,17,34,3726,8.5,0.310252281,2,109.5882353,29956,23556,2370494,8144396,79.13252771,345.7461369,309261.4706,2822.031669,1
sunrtb.cn,4,4,30,4,0.533333333,1,7.5,454,636,30282,733007,66.70044053,1152.52673,190822.25,25442.96667,-1
bccyyc.com,1,1,2,1,0.5,1,2,9,7,1833,4608,203.6666667,658.2857143,6441,3220.5,-1
weixinwoaini.cn,1,1,10,1,0.1,1,10,41,22,2212,1236,53.95121951,56.18181818,3448,344.8,-1
edgekey.net,7,8,27,6.124999999,2.37037037,1.142857143,3.375,3296,6098,395742,8077996,120.0673544,1324.695966,1059217.25,313842.1481,-1
icarcloud.net,1,1,5,1,0.2,1,5,25,19,3700,3195,148,168.1578947,6895,1379,-1
ali213.net,1,1,35,1,0.028571429,1,35,287,316,34289,250747,119.4738676,793.5031646,285036,8143.885714,-1
znzw.net,2,7,891,0.571428571,0.054994388,3.5,127.2857143,22191,22025,1512412,1211375,68.15429679,55,389112.4286,3057,1
lmobi.net,1,4,4,0.25,4,4,1,26,22,6481,3974,249.2692308,180.6363636,2613.75,2613.75,-1
adison.co,1,1,5,1,0.2,1,5,20,21,6078,3416,303.9,162.6666667,9494,1898.8,-1
videojj.com,5,7,25,3.571428571,1.96,1.4,3.571428571,154,92,27033,33281,175.538961,361.75,8616.285714,2412.56,-1
cetc-iot.com,2,2,21,2,0.19047619,1,10.5,315,210,21501,12052,68.25714286,57.39047619,16776.5,1597.761905,-1
wxrrd.com,3,3,5,3,1.8,1,1.666666667,20,7,860,316,43,45.14285714,392,235.2,-1
coinout.cn,1,1,1,1,1,1,1,8,5,655,526,81.875,105.2,1181,1181,-1
ixueshu.com,1,1,1,1,1,1,1,4,2,216,112,54,56,328,328,-1
vipcare.com,1,54,2654,0.018518519,1.098718915,54,49.14814815,74564,48083,5583957,3519408,74.88810954,73.19443462,168580.8333,3430.054635,-1
sjtu.edu.cn,174,19708,104371,1.536228943,3721.390654,113.2643678,5.295869698,208879,156635,15879748,11904260,76.02366921,76,1409.783235,266.2042905,-1
abbott.com,2,4,1053,1,0.015194682,2,263.25,8106,9588,1363936,967933,168.2625216,100.9525448,582967.25,2214.500475,1
starschinalive.com,1,1,2,1,0.5,1,2,235,349,14800,472675,62.9787234,1354.369628,487475,243737.5,-1
uncentury.com,11,53,1351,2.283018868,2.079200592,4.818181818,25.49056604,26258,30455,2688597,21820849,102.3915378,716.4947956,462442.3774,18141.70688,-1
treeup.net,1,1,20,1,0.05,1,20,352,358,17486,16792,49.67613636,46.90502793,34278,1713.9,-1
ecarcloud.net,2,259,1641,0.015444015,40.8781231,129.5,6.335907336,36565,36865,2255174,2027672,61.6757555,55.00263122,16536.08494,2609.900061,-1
ktcarnet.com,4,55,3156,0.290909091,0.958491762,13.75,57.38181818,41148,29799,3025195,1691998,73.51985516,56.78036176,85767.14545,1494.674588,1
xportsnews.com,1,1,27,1,0.037037037,1,27,1477,1968,101934,2684365,69.01421801,1364.006606,2786299,103196.2593,-1
codoon.com,1,1,10,1,0.1,1,10,73,55,7107,20348,97.35616438,369.9636364,27455,2745.5,-1
kakaocdn.net,1,63,490,0.015873016,8.1,63,7.777777778,14833,15755,1161013,15791483,78.27229825,1002.315646,269087.2381,34596.93061,-1
msocsp.com,4,4,9,4,1.777777778,1,2.25,47,44,3884,21104,82.63829787,479.6363636,6247,2776.444444,-1
tubemogul.com,1,1,6,1,0.166666667,1,6,48,29,5795,7691,120.7291667,265.2068966,13486,2247.666667,-1
uu.cc,1,1,157,1,0.006369427,1,157,1824,1481,215976,230032,118.4078947,155.3220797,446008,2840.815287,-1
91isv.cn,6,22,490,1.636363636,0.987755102,3.666666667,22.27272727,2588,2535,284434,258664,109.9049459,102.0370809,24686.27273,1108.363265,-1
googletagmanager.com,84,130,989,54.27692306,17.08796764,1.547619048,7.607692308,10966,10625,1586475,4357917,144.6721685,410.1568941,45726.09231,6010.507583,-1
yahoodns.net,4,4,56,4,0.285714286,1,14,706,566,81452,264646,115.3711048,467.5724382,86524.5,6180.321429,-1
sinobds.cn,8,11,226,5.818181818,0.53539823,1.375,20.54545455,5983,5768,509203,352092,85.10830687,61.04230236,78299.54545,3811.039823,1
appspot.com,41,73,313,23.02739726,17.0255591,1.780487805,4.287671233,975,9,65074,360,66.7425641,40,896.3561644,209.0543131,-1
fuwo.com,16,25,18498,10.24,0.033787436,1.5625,739.92,120451,75635,7360815,12388311,61.11045155,163.7907186,789965.04,1067.635744,-1
chinaedu.edu.cn,1,1,105,1,0.00952381,1,105,1304,2794,131151,3719905,100.5759202,1331.39048,3851056,36676.72381,-1
morefun-et.com,16,685,906,0.373722628,517.9083886,42.8125,1.322627737,5238,5369,546543,1865939,104.3419244,347.5393928,3521.871533,2662.783664,1
cgqc.cn,2,26,792,0.153846154,0.853535354,13,30.46153846,115850,80322,19417871,4434871,167.6121795,55.21365255,917413.1538,30117.09848,-1
bbmasset.com,1,1,3,1,0.333333333,1,3,94,91,6329,112137,67.32978723,1232.274725,118466,39488.66667,-1
bluegogo.com,9,10,195,8.100000001,0.512820513,1.111111111,19.5,483,309,20150,13163,41.7184265,42.5987055,3331.3,170.8358974,1
gps123.org,2,4,247,1,0.064777328,2,61.75,648,396,63646,27596,98.2191358,69.68686869,22810.5,369.4008097,1
pinhui001.com,1,3,3,0.333333333,3,3,1,15,6,952,366,63.46666667,61,439.3333333,439.3333333,1
zenitech.cn,1,1,1,1,1,1,1,6,4,565,233,94.16666667,58.25,798,798,-1
linktrip.com,2,4,643,1,0.024883359,2,160.75,2582,1766,169553,96312,65.66731216,54.53680634,66466.25,413.4758942,1
zenlane.com,3,18,512,0.5,0.6328125,6,28.44444444,3530,2376,177690,1564075,50.33711048,658.2807239,96764.72222,3401.884766,1
redstone.net.cn,15,7350,69360,0.030612245,778.8711073,490,9.436734694,269235,123734,29848942,18640326,110.8657567,150.6483747,6597.17932,699.0955594,0
topsail-iot.com,5,33,393,0.757575758,2.770992366,6.6,11.90909091,3034,2324,231814,135286,76.40540541,58.21256454,11124.24242,934.0966921,-1
oneplus.cn,5,5,30,5,0.833333333,1,6,257,216,36513,104166,142.07393,482.25,28135.8,4689.3,-1
adpublic.cn,1,1,4,1,0.25,1,4,20,8,2264,1972,113.2,246.5,4236,1059,-1
microsoftonline.com,2,2,2,2,2,1,1,38,40,6310,39922,166.0526316,998.05,23116,23116,-1
marketingcloud.com,1,1,1,1,1,1,1,24,20,2041,5492,85.04166667,274.6,7533,7533,-1
yaoyaomiao.com,1,1,2,1,0.5,1,2,8,7,964,1056,120.5,150.8571429,2020,1010,1
globalvillage.biz,1,6,771,0.166666667,0.046692607,6,128.5,20030,17095,1138410,911334,56.83524713,53.30997368,341624,2658.552529,1
gpsxitong.com,25,213,15221,2.9342723,2.98068458,8.52,71.4600939,290250,234842,28890024,14027271,99.53496641,59.73067424,201489.6479,2819.610735,0
ipecho.net,3,9,11,1,7.363636365,3,1.222222222,39,33,2456,3323,62.97435897,100.6969697,642.1111111,525.3636364,-1
tamgrt.com,1,1,4,1,0.25,1,4,72,64,8459,13912,117.4861111,217.375,22371,5592.75,-1
mcafee.com,3,7,56,1.285714286,0.875,2.333333333,8,1120,1147,512112,650647,457.2428571,567.2598082,166108.4286,20763.55357,-1
ntp.org.cn,23,258,1082,2.050387598,61.5194085,11.2173913,4.19379845,1177,921,90228,69996,76.65930331,76,621.0232558,148.0813309,0
gmail.com,7,17,148,2.882352941,1.952702703,2.428571429,8.705882353,925,237,67511,51623,72.98486486,217.8185654,7007.882353,804.9594595,-1
ljcdn.com,20,24,211,16.66666667,2.72985782,1.2,8.791666667,4810,5640,406061,6348924,84.42016632,1125.695745,281457.7083,32014.14692,-1
livere.me,1,2,7,0.5,0.571428571,2,3.5,70,55,12209,23833,174.4142857,433.3272727,18021,5148.857143,-1
samsungcloud.com,9,51,4681,1.588235294,0.555650502,5.666666667,91.78431373,1024140,767669,1223287678,215420074,1194.453569,280.6158305,28209955.92,307350.5131,0
haolaiyun.com,1,3,2934,0.333333333,0.003067485,3,978,4634,1546,272704,61840,58.84851101,40,111514.6667,114.0231766,1
baiwang.com,1,1,1,1,1,1,1,10,9,615,4935,61.5,548.3333333,5550,5550,-1
inmobi.com,15,24,224,9.375,2.571428572,1.6,9.333333333,3179,2719,1060428,744513,333.5728216,273.8186833,75205.875,8057.772321,-1
do1.com.cn,2,2,9,2,0.444444444,1,4.5,59,61,10748,27540,182.1694915,451.4754098,19144,4254.222222,-1
appsflyer.com,26,52,479,13,5.645093945,2,9.211538462,5481,4545,976928,1640581,178.2390075,360.9639164,50336.71154,5464.528184,-1
zhuishuwang.com,3,3,29,3,0.310344828,1,9.666666667,687,645,128506,608058,187.0538574,942.7255814,245521.3333,25398.75862,-1
sensorsdata.cn,2,3,80,1.333333333,0.1125,1.5,26.66666667,261,251,79077,24490,302.9770115,97.56972112,34522.33333,1294.5875,-1
energycc.cn,1,2,3,0.5,1.333333333,2,1.5,14,12,928,530,66.28571429,44.16666667,729,486,1
htsec.com,1,6,26,0.166666667,1.384615385,6,4.333333333,254,279,23806,275345,93.72440945,986.8996416,49858.5,11505.80769,-1
dian.so,11,12200,1097331,0.009918033,135.6381985,1109.090909,89.94516393,17628796,10513702,1051200352,487519577,59.62973036,46.36992536,126124.5843,1402.23864,1
vgabc.com,1,1,1,1,1,1,1,14,12,1208,8744,86.28571429,728.6666667,9952,9952,-1
foxitreader.cn,1,1,117,1,0.008547009,1,117,435,370,49660,25314,114.1609195,68.41621622,74974,640.8034188,-1
acgvideo.com,4,5,104,3.2,0.240384615,1.25,20.8,4951,12330,288664,16857497,58.30418097,1367.193593,3429232.2,164866.9327,-1
sharepoint.com,1,1,1,1,1,1,1,21,21,1704,8083,81.14285714,384.9047619,9787,9787,-1
csair.com,1,2,54,0.5,0.074074074,2,27,507,434,126895,81781,250.2859961,188.4354839,104338,3864.37037,-1
biquge.cc,1,1,136,1,0.007352941,1,136,1936,1951,255650,1484685,132.0506198,760.9866735,1740335,12796.58088,-1
42xu.com,1,1,6,1,0.166666667,1,6,29,8,2776,1856,95.72413793,232,4632,772,-1
kochava.com,1,4,60,0.25,0.266666667,4,15,443,389,86361,175503,194.9458239,451.1645244,65466,4364.4,-1
czlgxs.com,1,2,37,0.5,0.108108108,2,18.5,207,156,12558,11140,60.66666667,71.41025641,11849,640.4864865,-1
itogame.com,1,1,14,1,0.071428571,1,14,63,44,11588,6090,183.9365079,138.4090909,17678,1262.714286,-1
google-z.com,5,5,89,5,0.280898876,1,17.8,246,13,14812,520,60.21138211,40,3066.4,172.2696629,-1
qibeigo.com,1,5,19,0.2,1.315789474,5,3.8,755,150,49810,8243,65.97350993,54.95333333,11610.6,3055.421053,-1
duapps.com,12,44,290,3.272727272,6.675862069,3.666666667,6.590909091,2323,2054,310362,891856,133.6039604,434.2044791,27323.13636,4145.57931,-1
nblan.com,1,1,147,1,0.006802721,1,147,5808,5844,343035,314281,59.0625,53.7784052,657316,4471.537415,-1
sanwen.net,1,1,1,1,1,1,1,8,15,667,4092,83.375,272.8,4759,4759,-1
tadu.com,2,2,16,2,0.25,1,8,92,61,12398,9464,134.7608696,155.147541,10931,1366.375,-1
mikecrm.com,2,2,5,2,0.8,1,2.5,39,27,2585,28829,66.28205128,1067.740741,15707,6282.8,-1
highcharts.com,1,1,1,1,1,1,1,69,75,3825,83141,55.43478261,1108.546667,86966,86966,-1
hangbiaowang.com,2,2,90,2,0.044444444,1,45,440,438,28650,22713,65.11363636,51.85616438,25681.5,570.7,1
sina.com,2,22,40,0.181818182,12.1,11,1.818181818,739,882,183101,60662,247.7686062,68.77777778,11080.13636,6094.075,0
bianxianmao.com,1,1,2,1,0.5,1,2,14,15,1468,4503,104.8571429,300.2,5971,2985.5,-1
jlschair.com,5,6,71,4.166666667,0.507042254,1.2,11.83333333,1243,714,72181,40180,58.06999195,56.2745098,18726.83333,1582.549296,1
beesmartnet.com,1,1,67,1,0.014925373,1,67,836,606,90114,96184,107.791866,158.7194719,186298,2780.567164,1
baoxingtech.com,2,26,2555,0.153846154,0.264579256,13,98.26923077,138313,73102,14082387,3071973,101.8153536,42.0231047,659783.0769,6714.035225,-1
v3lite.com,1,1,1,1,1,1,1,6,5,650,1494,108.3333333,298.8,2144,2144,-1
fraudmetrix.cn,1,1,3,1,0.333333333,1,3,12,7,648,388,54,55.42857143,1036,345.3333333,-1
delishkitchen.tv,1,1,1,1,1,1,1,1,0,64,0,64,0,64,64,-1
elocation.com.cn,1,1,6331,1,0.000157953,1,6331,6339,6339,380340,253560,60,40,633900,100.1263623,1
c2dms.com,1,2,26,0.5,0.153846154,2,13,181,146,18536,39779,102.4088398,272.4589041,29157.5,2242.884615,-1
incarcloud.com,1,3,80,0.333333333,0.1125,3,26.66666667,6967,7035,1344921,2566752,193.0416248,364.8545842,1303891,48895.9125,1
skcdn.com,1,6,68,0.166666667,0.529411765,6,11.33333333,13117,17904,737477,24646717,56.22299306,1376.603943,4230699,373296.9706,-1
mylikechat.com,1,1,18,1,0.055555556,1,18,849,888,115535,1007357,136.0836278,1134.411036,1122892,62382.88889,-1
gpssos.cn,1,1,13,1,0.076923077,1,13,55,13,3332,5388,60.58181818,414.4615385,8720,670.7692308,-1
sbar.com.cn,1,1,35,1,0.028571429,1,35,1386,2292,78324,3091385,56.51082251,1348.771815,3169709,90563.11429,-1
suianbo.cn,5,40,2856,0.625,0.56022409,8,71.4,126811,66427,14451388,5164393,113.9600508,77.74538968,490394.525,6868.270658,1
czdingrui.com,1,1,6,1,0.166666667,1,6,28,14,3704,2066,132.2857143,147.5714286,5770,961.6666667,-1
egovsum.com,1,1,15,1,0.066666667,1,15,45,20,15462,4717,343.6,235.85,20179,1345.266667,-1
fyu.se,2,2,3,2,1.333333333,1,1.5,16,15,1641,4940,102.5625,329.3333333,3290.5,2193.666667,-1
gtags.net,3,3,5,3,1.8,1,1.666666667,46,39,4675,13618,101.6304348,349.1794872,6097.666667,3658.6,-1
gujintianxia.com,1,1,2,1,0.5,1,2,192,190,11323,256050,58.97395833,1347.631579,267373,133686.5,-1
wostore.cn,4,17,64,0.941176471,4.515625,4.25,3.764705882,485,437,85978,51902,177.2742268,118.7688787,8110.588235,2154.375,-1
webjson.net,1,1,7,1,0.142857143,1,7,45,29,4479,3872,99.53333333,133.5172414,8351,1193,-1
ttt669.com,1,1,7,1,0.142857143,1,7,1154,1509,52064,2052906,45.11611785,1360.441352,2104970,300710,-1
cdnmaster.com,5,5,14,5,1.785714286,1,2.8,2696,4860,145195,6713760,53.85571217,1381.432099,1371791,489925.3571,-1
cdngc.net,2,18,499,0.222222222,0.649298597,9,27.72222222,6524,9103,726508,9786271,111.3592888,1075.05998,584043.2778,21067.69339,0
8gongli.com,1,1,30,1,0.033333333,1,30,366,249,76158,93673,208.0819672,376.1967871,169831,5661.033333,-1
segmetics.com,2,8,332,0.5,0.192771084,4,41.5,336,335,20160,13400,60,40,4195,101.0843373,1
fbcdn.net,7,24,276,2.041666666,2.086956522,3.428571429,11.5,1896,1311,117734,1720713,62.09599156,1312.519451,76601.95833,6661.039855,-1
lerke.cn,1,3,8,0.333333333,1.125,3,2.666666667,136,98,16897,28739,124.2426471,293.255102,15212,5704.5,1
qfpay.com,1,1,37,1,0.027027027,1,37,1356,1304,92715,179117,68.37389381,137.3596626,271832,7346.810811,1
bfgps.com,13,112,2114,1.508928571,5.933774834,8.615384615,18.875,13067,12023,940267,684112,71.95737354,56.90027447,14503.38393,768.3912015,-1
gccdn.net,1,23,251,0.043478261,2.107569721,23,10.91304348,5311,7739,547605,8024501,103.107701,1036.8912,372700.2609,34151.81673,-1
kirinclouds.com,1,21,2632,0.047619048,0.167553192,21,125.3333333,85045,84659,4289573,4304076,50.43886178,50.84014694,409221.381,3265.06421,-1
gc.com.cn,1,6,276,0.166666667,0.130434783,6,46,24541,40655,1530870,41240458,62.38009861,1014.40064,7128554.667,154968.5797,-1
qktoutiao.com,108,139,887,83.91366907,21.78241263,1.287037037,6.381294964,28027,60022,2620254,72343083,93.49034859,1205.276115,539304.5827,84513.34498,-1
gps903.net,34,995,96766,1.161809045,10.23112457,29.26470588,97.25226131,711847,538044,272914786,33829106,383.3896694,62.87423705,308285.3186,3169.955274,1
