domain1,tags,tids,xs,tagRatio,xdrRatio,tagDistribute,xdrDistribute,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_main,domain0
metrics.icloud.com,14,17,43,11.52941176,6.720930233,1.214285714,2.529411765,99.9121447,491.8247863,9044.294118,3575.651163,1,icloud.com
astyle.alicdn.com,78,82,403,74.19512195,16.68486352,1.051282051,4.914634146,67.64494748,1070.094541,297243.5366,60481.31514,1,alicdn.com
nbcollectretry.kugou.com,48,50,487,46.08,5.133470226,1.041666667,9.74,161.3063584,90.75,14031.9,1440.646817,1,kugou.com
url.cn,25,25,77,25,8.116883117,1,3.08,71.6325,270.7975709,3821.6,1240.779221,1,url.cn
clients3.google.com,88,232,4172,33.37931034,12.9012464,2.636363636,17.98275862,75.27347046,0,4921.327586,273.6692234,1,google.com
msdk.qq.com,70,72,1178,68.05555556,4.400679117,1.028571429,16.36111111,157.8497707,350.1737694,68551.26389,4189.890492,1,qq.com
p15-keyvalueservice.icloud.com,37,48,325,28.52083333,7.089230769,1.297297297,6.770833333,139.0461178,596.2657515,46409.375,6854.307692,1,icloud.com
thirdqq0.qlogo.cn,148,160,2524,136.9,10.14263074,1.081081081,15.775,87.98987467,751.6003037,80069.78125,5075.738906,1,qlogo.cn
kefu.ctrip.com,13,13,145,13,1.165517241,1,11.15384615,244.1313409,561.138733,155408.1538,13933.14483,1,ctrip.com
wtlogin.qq.com,72,75,392,69.12,14.3494898,1.041666667,5.226666667,166.5461276,99.02997275,5353.16,1024.201531,1,qq.com
mime.baidu.com,106,185,665,60.73513514,51.46616541,1.745283019,3.594594595,287.2615894,291.733039,27642.31351,7689.966917,1,baidu.com
d.toutiao.com,112,116,834,108.137931,16.13429257,1.035714286,7.189655172,255.0511494,271.9386434,44904.93103,6245.769784,1,toutiao.com
tvax3.sinaimg.cn,49,58,497,41.39655172,6.76861167,1.183673469,8.568965517,46.87113694,1355.421562,3278988.741,382658.6459,1,sinaimg.cn
wng.ctrip.com,13,13,234,13,0.722222222,1,18,62.38250181,72.1037182,12305,683.6111111,1,ctrip.com
d.kugou.com,41,44,537,38.20454545,3.605214153,1.073170732,12.20454545,157.401907,106.4494189,18001.13636,1474.953445,1,kugou.com
pushaix1.hicloud.com,15,16,64,14.0625,4,1.066666667,4,80.29623568,664.6227848,19474.1875,4868.546875,1,hicloud.com
p42-contacts.icloud.com,17,20,102,14.45,3.921568627,1.176470588,5.1,132.1370158,658.4192635,44073.25,8641.813725,1,icloud.com
s.360.cn,78,98,5069,62.08163265,1.894653778,1.256410256,51.7244898,188.526817,141.0858803,90136.32653,1742.623792,1,360.cn
comment.10jqka.com.cn,11,11,240,11,0.504166667,1,21.81818182,145.95776,690.7310954,219171.5455,10045.3625,1,10jqka.com.cn
ce.apple-dns.net,14,16,64,12.25,4,1.142857143,4,1256.288642,381.3247286,3457620.563,864405.1406,1,apple-dns.net
speech.sogou.com,47,47,912,47,2.422149123,1,19.40425532,228.0926132,632.7601505,94122.74468,4850.623904,1,sogou.com
query.hicloud.com,41,68,150,24.72058824,30.82666667,1.658536585,2.205882353,235.8830348,132.8830049,4878.735294,2211.693333,1,hicloud.com
httpdns-sc.aliyuncs.com,12,12,20,12,7.2,1,1.666666667,90.77653631,406.2518519,5924.416667,3554.65,1,aliyuncs.com
ossgw.alicdn.com,87,91,1465,83.17582418,5.652559727,1.045977011,16.0989011,54.0218307,1184.678882,2084829.725,129501.3686,1,alicdn.com
asia.apple.com,127,234,7069,68.92735043,7.745932947,1.842519685,30.20940171,75.70502541,76,4162.991453,137.8044985,1,apple.com
stat.nearme.com.cn,107,132,3185,86.73484848,5.470643642,1.23364486,24.12878788,264.6616878,108.7190097,53537.18939,2218.809733,1,nearme.com.cn
p29-keyvalueservice.icloud.com,25,26,163,24.03846154,4.147239264,1.04,6.269230769,128.2488479,546.0475367,32862.19231,5241.822086,1,icloud.com
p23-bookmarks.icloud.com,17,24,58,12.04166667,9.931034483,1.411764706,2.416666667,187.5947612,483.877095,15899.625,6579.155172,1,icloud.com
jingyan.baidu.com,14,14,84,14,2.333333333,1,6,107.0842027,829.7897839,100771.1429,16795.19048,1,baidu.com
api-skytone-6.vmall.com,37,43,112,31.8372093,16.50892857,1.162162162,2.604651163,166.1016949,336.2480706,10966.90698,4210.508929,1,vmall.com
aplbs.yy.com,21,21,650,21,0.678461538,1,30.95238095,154.2832019,230.7166667,25298.71429,817.3430769,1,yy.com
search.oppomobile.com,23,23,215,23,2.460465116,1,9.347826087,208.6156069,156.8562802,15061.73913,1611.255814,1,oppomobile.com
im64.jpush.cn,97,352,6285,26.73011364,19.71424025,3.628865979,17.85511364,58.3136933,73.08678855,10965.71875,614.1500398,1,jpush.cn
data-jshop.jd.com,13,13,123,13,1.37398374,1,9.461538462,225.2153146,600.5623946,77640.46154,8205.902439,1,jd.com
ptlogin2.qq.com,20,20,95,20,4.210526316,1,4.75,145.4555189,444.8478992,35297.6,7431.073684,1,qq.com
lf.snssdk.com,121,130,1093,112.6230769,15.46203111,1.074380165,8.407692308,132.2884766,931.8043548,243920.2385,29011.55627,1,snssdk.com
gsp10-ssl.apple.com,18,23,497,14.08695652,1.064386318,1.277777778,21.60869565,454.7880671,225.9744621,207936.5652,9622.818913,1,apple.com
forecast.sina.cn,11,11,304,11,0.398026316,1,27.63636364,138.919482,218.5261611,56221.27273,2034.322368,1,sina.cn
uc1.ucweb.com,14,15,24,13.06666667,9.375,1.071428571,1.6,160.4414894,222.1734104,4573.266667,2858.291667,1,ucweb.com
e.360.cn,20,24,180,16.66666667,3.2,1.2,7.5,109.1894205,404.748562,52745.16667,7032.688889,1,360.cn
p26-fmf.icloud.com,18,19,47,17.05263158,7.680851064,1.055555556,2.473684211,96.84638109,355.0501982,17596.73684,7113.574468,1,icloud.com
push.apple.com,225,392,13838,129.1454082,11.10449487,1.742222222,35.30102041,131.5848159,732.763637,585745.5816,16592.87961,1,apple.com
p39-keyvalueservice.icloud.com,14,17,85,11.52941176,3.4,1.214285714,5,107.5129983,351.7537994,10456.58824,2091.317647,1,icloud.com
p65-keyvalueservice.icloud.com,16,19,116,13.47368421,3.112068966,1.1875,6.105263158,142.8658537,741.9141516,71785.47368,11757.96552,1,icloud.com
music.qq.com,122,130,1902,114.4923077,8.885383807,1.06557377,14.63076923,217.7892507,385.6801303,58721.53077,4013.564143,1,qq.com
monsetting.toutiao.com,89,92,939,86.09782609,9.013844515,1.033707865,10.20652174,230.7785515,344.8344578,99624.86957,9760.903088,1,toutiao.com
msgacs.youku.com,22,22,113,22,4.283185841,1,5.136363636,209.1738836,348.1634461,33708.09091,6562.637168,1,youku.com
mig.tencent-cloud.net,44,47,3249,41.19148936,0.679901508,1.068181818,69.12765957,236.0473993,120.5563869,104295.766,1508.741459,1,tencent-cloud.net
gfm.qq.com,49,50,6240,48.02,0.400641026,1.020408163,124.8,271.5587068,79.75974026,37204.8,298.1153846,1,qq.com
catdot.dianping.com,63,172,176376,23.0755814,0.167732571,2.73015873,1025.44186,252.7589256,173.9813985,941337.2267,917.9820554,1,dianping.com
map.bdimg.com,27,30,206,24.3,4.368932039,1.111111111,6.866666667,94.20180045,673.3941491,79728.73333,11610.98058,1,bdimg.com
abroad.qq.com,63,64,240,62.015625,17.06666667,1.015873016,3.75,164.7422316,184.0755102,6463.578125,1723.620833,1,qq.com
bbsimg.zhibo8.cc,14,14,87,14,2.252873563,1,6.214285714,44.94599069,1352.776332,2474915.857,398262.3218,1,zhibo8.cc
passport.iqiyi.com,15,15,45,15,5,1,3,148.2224719,493.4781145,14168.13333,4722.711111,1,iqiyi.com
browser.vivo.com.cn,27,29,585,25.13793103,1.437606838,1.074074074,20.17241379,126.0748096,518.58569,79212.75862,3926.786325,1,vivo.com.cn
ke-image.ljcdn.com,20,21,211,19.04761905,2.090047393,1.05,10.04761905,84.42016632,1125.695745,321665.9524,32014.14692,1,ljcdn.com
report.meituan.com,51,119,12648,21.85714286,1.119623656,2.333333333,106.2857143,215.8791414,301.6570114,189081.3361,1778.991066,1,meituan.com
mistat.xiaomi.com,128,171,3669,95.8128655,7.969746525,1.3359375,21.45614035,399.7280866,267.0637782,102194.9474,4762.969747,1,xiaomi.com
wsdl.vivo.com.cn,49,49,248,49,9.681451613,1,5.06122449,57.84161046,1078.113082,303016.3673,59870.16935,1,vivo.com.cn
tcdn.qq.com,281,319,3572,247.5266458,28.48852184,1.135231317,11.19749216,57.42860713,1331.046137,1843143.931,164603.2794,1,qq.com
p9.pstatp.com,60,60,586,60,6.14334471,1,9.766666667,68.92508631,1085.51899,176229.8833,18044.01536,1,pstatp.com
tplay.qq.com,61,63,1082,59.06349206,3.668207024,1.032786885,17.17460317,217.512573,231.6037929,55956.28571,3258.083179,1,qq.com
gia.jd.com,14,14,85,14,2.305882353,1,6.071428571,642.2989757,195.2860447,89754.07143,14783.02353,1,jd.com
html5.qq.com,360,470,6042,275.7446809,36.56074148,1.305555556,12.85531915,160.9891465,359.9276309,43458.2766,3380.567693,1,qq.com
pic.url.cn,135,141,688,129.2553191,28.89680233,1.044444444,4.879432624,62.25184909,1176.969777,217839.3546,44644.40262,1,url.cn
hispace.hicloud.com,48,49,163,47.02040816,14.73006135,1.020833333,3.326530612,237.9021739,423.4978513,59430.61224,17865.64417,1,hicloud.com
fragment.tmall.com,46,61,244,34.68852459,15.25,1.326086957,4,139.5393939,478.1292902,31071.2459,7767.811475,1,tmall.com
wappass.baidu.com,51,58,502,44.84482759,6.701195219,1.137254902,8.655172414,150.4969363,188.2597663,36381.37931,4203.426295,1,baidu.com
s0z.pstatp.com,32,32,290,32,3.531034483,1,9.0625,65.97917165,887.3477457,128542.9375,14184.04828,1,pstatp.com
dx-pic6.qiyipic.com,39,46,658,33.06521739,3.215805471,1.179487179,14.30434783,61.33387478,843.6965594,124175.6522,8680.972644,1,qiyipic.com
browser.oppomobile.com,18,18,559,18,0.57960644,1,31.05555556,284.4226699,359.3051363,281324.8889,9058.762075,1,oppomobile.com
mobile.yangkeduo.com,11,11,51,11,2.37254902,1,4.636363636,277.9626335,533.0130719,36442.54545,7860.156863,1,yangkeduo.com
dc1.networkbench.com,31,33,523,29.12121212,2.082217973,1.064516129,15.84848485,163.5837275,314.7481796,57634.84848,3636.615679,1,networkbench.com
kstj.baidu.com,18,18,382,18,0.848167539,1,21.22222222,204.0879649,176.375176,96026.44444,4524.806283,1,baidu.com
share.uc.cn,30,32,77,28.125,13.2987013,1.066666667,2.40625,105.9666667,122.1632653,3086,1282.493506,1,uc.cn
gecko.snssdk.com,153,162,2245,144.5,11.68997773,1.058823529,13.85802469,144.2363235,566.8105581,124986.8519,9019.095768,1,snssdk.com
gss0.baidu.com,129,160,2471,104.00625,10.36017807,1.240310078,15.44375,78.0267883,997.6591606,606816.2938,39292.03035,1,baidu.com
ucsec.ucweb.com,30,31,176,29.03225806,5.460227273,1.033333333,5.677419355,145.8194529,346.1947497,26030.32258,4584.886364,1,ucweb.com
browser.nearme.com.cn,42,45,328,39.2,6.173780488,1.071428571,7.288888889,244.2898719,113.8433253,12491.28889,1713.743902,1,nearme.com.cn
sdkinit.taobao.com,11,11,38,11,3.184210526,1,3.454545455,196.2203947,380.8250825,15912.81818,4606.342105,1,taobao.com
youtubei.googleapis.com,81,217,14696,30.23502304,3.204205226,2.679012346,67.7235023,63.13313767,0,12589.09677,185.8896298,1,googleapis.com
gameact.qq.com,139,154,977,125.461039,24.27430911,1.107913669,6.344155844,58.06537205,1288.207314,561647.2597,88529.86489,1,qq.com
retcode.alicdn.com,63,66,295,60.13636364,14.76610169,1.047619048,4.46969697,54.58798757,1141.279041,220370.8485,49303.30847,1,alicdn.com
sngapm.qq.com,13,13,45,13,3.755555556,1,3.461538462,137.6514599,353.968254,17810.23077,5145.177778,1,qq.com
music.163.com,38,39,4189,37.02564103,0.363093817,1.026315789,107.4102564,200.1169955,372.0839994,323147.2051,3008.532108,1,163.com
cloudsafe.hicloud.com,25,27,73,23.14814815,9.98630137,1.08,2.703703704,111.7021858,459.2409639,14322.2963,5297.287671,1,hicloud.com
ios-wsba.51y5.net,21,21,42,21,10.5,1,2,192.9361702,188.6287879,4962.190476,2481.095238,1,51y5.net
media.weibo.cn,40,43,847,37.20930233,2.182998819,1.075,19.69767442,274.4056338,552.1456524,166164.4884,8435.74144,1,weibo.cn
ts7.qq.com,11,11,23,11,5.260869565,1,2.090909091,117.9508197,178.083871,4471.636364,2138.608696,1,qq.com
p48-fmip.icloud.com,20,24,86,16.66666667,6.697674419,1.2,3.583333333,109.7962963,426.1188925,14854.20833,4145.360465,1,icloud.com
map.qq.com,426,973,25897,186.5118191,36.5574777,2.284037559,26.61562179,171.6035281,228.0147635,53157.25591,1997.220141,1,qq.com
l.google.com,129,281,31800,59.22064057,2.483050314,2.178294574,113.1672598,64.44063951,526.7365997,26106.82206,230.6923585,1,google.com
wspeed.qq.com,167,191,1011,146.0157068,36.08407517,1.143712575,5.293193717,232.808,96.78712556,10155.64398,1918.623145,1,qq.com
cdn.qq.com,26,27,229,25.03703704,3.183406114,1.038461538,8.481481481,91.50933908,77.7761194,7419.814815,874.8253275,1,qq.com
pushlog.yy.com,21,21,754,21,0.584880637,1,35.9047619,135.9869763,474.0392764,124663.381,3472.057029,1,yy.com
report.url.cn,18,18,241,18,1.34439834,1,13.38888889,217.4669927,191.0034688,51061.61111,3813.73029,1,url.cn
safebrowsing.googleapis.com,31,67,227,14.34328358,19.7753304,2.161290323,3.388059701,76.77260166,1247.297893,481839.4627,142216.9339,1,googleapis.com
p1.pstatp.com,68,68,1355,68,3.412546125,1,19.92647059,64.20067085,1079.328336,400599.1471,20103.86863,1,pstatp.com
msg.umengcloud.com,97,113,753,83.26548673,16.95750332,1.164948454,6.663716814,136.4448746,481.8435478,30825.74336,4625.908367,1,umengcloud.com
sns-paopao.iqiyi.com,20,20,131,20,3.053435115,1,6.55,103.0431344,656.2006336,38237.75,5837.824427,1,iqiyi.com
spdytest1.baidu.com,19,19,312,19,1.157051282,1,16.42105263,187.2574919,821.4038283,284264,17310.94872,1,baidu.com
dxlvs.meituan.com,17,17,18,17,16.05555556,1,1.058823529,48.61261261,57.75675676,568.8235294,537.2222222,1,meituan.com
p24-ckcoderouter.icloud.com,12,15,74,9.6,3.040540541,1.25,4.933333333,117.5884194,646.2464789,17244.86667,3495.581081,1,icloud.com
pgdt.gtimg.cn,278,306,2578,252.5620915,36.32117921,1.100719424,8.424836601,59.903003,1171.516191,287313.8105,34103.19085,1,gtimg.cn
op.hicloud.com,30,30,116,30,7.75862069,1,3.866666667,48.06665925,1387.607511,4797786.767,1240806.922,1,hicloud.com
z9.sinaimg.cn,33,57,10170,19.10526316,0.319469027,1.727272727,178.4210526,65.70021623,1038.345399,1019435.509,5713.650344,1,sinaimg.cn
downmobile.kugou.com,13,13,51,13,3.31372549,1,3.923076923,59.82670906,1181.641026,133406.6154,34005.60784,1,kugou.com
mobilegw.alipaydns.com,71,72,214,70.01388889,24.22429907,1.014084507,2.972222222,130.4123134,792.6568266,47593.69444,16012.83178,1,alipaydns.com
krcsretry.kugou.com,57,60,1218,54.15,2.955665025,1.052631579,20.3,125.297106,179.4965157,33696.43333,1659.922824,1,kugou.com
a6.pstatp.com,50,51,300,49.01960784,8.67,1.02,5.882352941,48.94928937,1130.144501,819839.2941,139372.68,1,pstatp.com
store.qq.com,55,58,1313,52.15517241,2.562071592,1.054545455,22.63793103,112.2098075,1211.372193,541305.9828,23911.46002,1,qq.com
mats.gtimg.com,143,150,861,136.3266667,26.13240418,1.048951049,5.74,66.4150752,1166.024876,212103.0133,36951.74448,1,gtimg.com
v.qq.com,285,329,3352,246.8844985,32.29146778,1.154385965,10.18844985,66.3190758,1056.408809,220240.2979,21616.66408,1,qq.com
mixer.jd.com,43,46,467,40.19565217,4.531049251,1.069767442,10.15217391,283.9566648,414.1266776,50010.06522,4926.044968,1,jd.com
instantmessaging-pa.googleapis.com,12,15,100,9.6,2.25,1.25,6.666666667,82.68848168,51.42857143,2393.8,359.07,1,googleapis.com
test.meituan.com,13,13,105,13,1.60952381,1,8.076923077,63.41818182,40,1843.692308,228.2666667,1,meituan.com
apiv3.yangkeduo.com,21,21,259,21,1.702702703,1,12.33333333,219.3405866,335.037037,22670.71429,1838.166023,1,yangkeduo.com
www.sogou.com,67,69,1307,65.05797101,3.642693191,1.029850746,18.94202899,324.5674902,509.2358369,123696.0725,6530.24407,1,sogou.com
policy.jd.com,91,97,2214,85.37113402,4.249774164,1.065934066,22.82474227,190.6324542,443.6380876,130061.1856,5698.254291,1,jd.com
bugly.qq.com,431,720,10307,258.0013889,50.2959154,1.670533643,14.31527778,194.7692556,298.8085618,36737.62778,2566.323081,1,qq.com
nbsdk-baichuan.alicdn.com,22,22,50,22,9.68,1,2.272727273,47.42828485,1269.193672,1305685.318,574501.54,1,alicdn.com
gds.taobao.com,96,103,567,89.47572816,18.71075838,1.072916667,5.504854369,240.1233787,386.697811,73880.96117,13421.05644,1,taobao.com
account.xiaomi.com,57,63,654,51.57142857,6.068807339,1.105263158,10.38095238,135.6346051,494.2747253,49145.33333,4734.183486,1,xiaomi.com
afp.alicdn.com,93,95,375,91.04210526,24.06666667,1.021505376,3.947368421,63.32790113,1074.623488,117346.6211,29727.81067,1,alicdn.com
ums.uc.cn,76,78,419,74.05128205,14.5202864,1.026315789,5.371794872,46.89010225,1293.112929,3424035.333,637409.9189,1,uc.cn
mobilelog.kuwo.cn,14,20,156,9.8,2.564102564,1.428571429,7.8,126.6460084,341.5882353,21997.6,2820.205128,1,kuwo.cn
c10r.facebook.com,23,52,211,10.17307692,12.81516588,2.260869565,4.057692308,69.89158345,40,965.2692308,237.8862559,1,facebook.com
mobile-pubt.ele.me,15,21,255,10.71428571,1.729411765,1.4,12.14285714,469.0767685,206.0629072,154824.381,12750.24314,1,ele.me
pb3.pstatp.com,13,13,87,13,1.942528736,1,6.692307692,59.8691301,1080.742722,111645.6923,16682.68966,1,pstatp.com
map.baidu.com,339,816,16894,140.8345588,39.41375636,2.407079646,20.70343137,117.4440209,646.0634437,218658.5098,10561.46229,1,baidu.com
hijack.baidu.com,53,59,199,47.61016949,17.49246231,1.113207547,3.372881356,125.9278239,263.3372434,18090.33898,5363.467337,1,baidu.com
py1.qlogo.cn,23,25,103,21.16,6.067961165,1.086956522,4.12,61.10958904,1168.639267,103982.32,25238.42718,1,qlogo.cn
wx1.sinaimg.cn,29,37,214,22.72972973,6.397196262,1.275862069,5.783783784,49.32272983,1341.275827,2259375.676,390639.7196,1,sinaimg.cn
p10-fmip.icloud.com,15,16,46,14.0625,5.565217391,1.066666667,2.875,123.4246285,464.4395604,11557.8125,4020.108696,1,icloud.com
animalmobile.happyelements.cn,13,14,664,12.07142857,0.295180723,1.076923077,47.42857143,111.0963203,447.6075349,137106.9286,2890.808735,1,happyelements.cn
dcmdaa.51y5.net,31,31,212,31,4.533018868,1,6.838709677,148.6054889,82.14766355,8424.903226,1231.943396,1,51y5.net
time.izatcloud.net,16,18,123,14.22222222,2.634146341,1.125,6.833333333,77.13821138,76,936.6666667,137.0731707,1,izatcloud.net
istore.oppomobile.com,53,61,306,46.04918033,12.16013072,1.150943396,5.016393443,367.8558559,420.035175,70221.01639,13998.30719,1,oppomobile.com
m.baidu.com,35,36,237,34.02777778,5.46835443,1.028571429,6.583333333,220.7020993,842.4999212,185286.5556,28144.79325,1,baidu.com
xmpush.xiaomi.com,11,11,53,11,2.283018868,1,4.818181818,108.7637584,488.7907348,35182.90909,7302.113208,1,xiaomi.com
promotion-waimai.meituan.com,74,187,1937,29.28342246,18.05317501,2.527027027,10.35828877,175.373742,275.7233121,31128.42781,3005.170883,1,meituan.com
micloud.xiaomi.net,49,55,506,43.65454545,5.97826087,1.12244898,9.2,181.5806771,448.1306056,51923.21818,5643.828063,1,xiaomi.net
ugcyd.qq.com,36,37,873,35.02702703,1.568155785,1.027777778,23.59459459,42.72256215,1392.956389,43419317.86,1840223.094,1,qq.com
igame2.oppomobile.com,16,17,59,15.05882353,4.898305085,1.0625,3.470588235,482.3824627,272.9475277,46329.70588,13349.23729,1,oppomobile.com
security.xiaomi.com,12,13,23,11.07692308,7.347826087,1.083333333,1.769230769,100.8311258,510.6849315,13813.15385,7807.434783,1,xiaomi.com
box.bdimg.com,31,31,212,31,4.533018868,1,6.838709677,70.39661827,882.7514434,209636.4516,30654.38679,1,bdimg.com
minigame.qq.com,16,16,159,16,1.610062893,1,9.9375,213.0611965,309.6041731,324258.3125,32629.7673,1,qq.com
shmmsns.qpic.cn,418,507,10939,344.6232742,23.49840022,1.21291866,21.57593688,83.79227965,841.4620716,259911.6134,12046.36512,1,qpic.cn
weixin110.qq.com,361,428,4291,304.4883178,42.69028199,1.185595568,10.02570093,236.1050794,150.2560064,24312.73364,2425.040783,1,qq.com
inews.qq.com,80,92,1641,69.56521739,5.157830591,1.15,17.83695652,266.0098264,642.3814772,340997.75,19117.48507,1,qq.com
uxip-res.meizu.com,30,37,1046,24.32432432,1.308795411,1.233333333,28.27027027,66.1334504,848.4080532,197048.4054,6970.16348,1,meizu.com
awaken.amap.com,77,80,553,74.1125,11.57323689,1.038961039,6.9125,219.8650485,114.8676934,12594.5,1821.98915,1,amap.com
osp.meituan.net,17,17,161,17,1.795031056,1,9.470588235,64.70224498,1122.547317,170848.0588,18039.85714,1,meituan.net
mapsv0.bdimg.com,71,75,1318,67.21333333,4.267830046,1.056338028,17.57333333,86.21917973,1031.628398,1263972.027,71925.57056,1,bdimg.com
ulogs.umengcloud.com,43,49,390,37.73469388,6.156410256,1.139534884,7.959183673,258.5104762,281.8022359,31536.79592,3962.315385,1,umengcloud.com
cloudlistserviceretry.kugou.com,52,55,1338,49.16363636,2.26083707,1.057692308,24.32727273,123.6923908,364.3323992,77270.6,3176.295217,1,kugou.com
connect.qq.com,106,113,349,99.43362832,36.58739255,1.066037736,3.088495575,90.62530414,250.4545852,7382.920354,2390.458453,1,qq.com
iadsdk.apple.com,10,11,29,9.090909091,4.172413793,1.1,2.636363636,157.8763103,405.4549451,23617.18182,8958.241379,1,apple.com
wns.qq.com,14,14,190,14,1.031578947,1,13.57142857,158.2298451,507.7097171,153682.3571,11323.96316,1,qq.com
p32-keyvalueservice.icloud.com,23,29,150,18.24137931,5.606666667,1.260869565,5.172413793,139.339221,668.6326062,50773.06897,9816.126667,1,icloud.com
online.kugou.com,57,60,499,54.15,7.214428858,1.052631579,8.316666667,109.1721874,109.1885802,11993.45,1442.098196,1,kugou.com
p59-caldav.icloud.com,19,23,95,15.69565217,5.568421053,1.210526316,4.130434783,114.6453252,406.2537879,18894.08696,4574.357895,1,icloud.com
pushaix.hicloud.com,11,11,61,11,1.983606557,1,5.545454545,81.81034483,664.7924528,26735.27273,4821.114754,1,hicloud.com
yoyo.qq.com,146,155,970,137.5225806,24.76804124,1.061643836,6.258064516,77.1532185,1119.363472,185290.2645,29608.23814,1,qq.com
wise.qq.com,28,28,548,28,1.430656934,1,19.57142857,193.8105386,467.822792,88201.03571,4506.622263,1,qq.com
appdl.hicloud.com,25,25,180,25,3.472222222,1,7.2,115.5624321,139.4814286,8162.8,1133.722222,1,hicloud.com
sz-maga-upaas.uc.cn,13,13,23,13,7.347826087,1,1.769230769,137.7526882,398.2330508,10185.84615,5757.217391,1,uc.cn
p52-availability.icloud.com,14,17,69,11.52941176,4.188405797,1.214285714,4.058823529,154.234714,653.7810945,40119.64706,9884.550725,1,icloud.com
servicecut.meizu.com,27,36,693,20.25,1.87012987,1.333333333,19.25,100.3150988,367.5931103,93769.08333,4871.121212,1,meizu.com
s3-ap-northeast-1.amazonaws.com,17,32,157,9.03125,6.522292994,1.882352941,4.90625,60.05031447,0,895.125,182.4458599,1,amazonaws.com
pull-flv-l1-hs.pstatp.com,14,14,60,14,3.266666667,1,4.285714286,84,84,5496,1282.4,1,pstatp.com
m.taobao.com,508,980,86358,263.3306122,11.12114685,1.929133858,88.12040816,131.2249344,213.7569562,218854.9755,2483.590125,1,taobao.com
