domain1,tags,tids,xs,tagRatio,xdrRatio,tagDistribute,xdrDistribute,ups,dps,ubs,dbs,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_main,domain0
tvax1.sinaimg.cn,4,4,51,4,0.31372549,1,12.75,15865,38127,782656,51977766,49.33224078,1363.279723,13190105.5,1034518.078,1,sinaimg.cn
login.xunlei.com,1,1,4,1,0.25,1,4,11,0,660,0,60,0,660,165,-1,xunlei.com
wns.windows.com,10,14,192,7.142857143,1.020833333,1.4,13.71428571,2183,1469,277287,395695,127.0210719,269.3635126,48070.14286,3505.114583,1,windows.com
vasapi.wps.cn,2,2,2,2,2,1,1,11,8,1069,569,97.18181818,71.125,819,819,-1,wps.cn
geniemusic.co.kr,1,1,2,1,0.5,1,2,112,111,6249,148421,55.79464286,1337.126126,154670,77335,-1,co.kr
cxaqu.top,1,1,1,1,1,1,1,186,188,9884,259138,53.13978495,1378.393617,269022,269022,-1,cxaqu.top
files.xiaomi.net,1,1,5,1,0.2,1,5,45,39,3004,24619,66.75555556,631.2564103,27623,5524.6,1,xiaomi.net
www.zhimoo.com,3,18,1148,0.5,0.282229965,6,63.77777778,38487,23474,2338865,1832302,60.77026009,78.05665843,231731.5,3633.420732,0,zhimoo.com
devchat.artimen.cn,1,1,3,1,0.333333333,1,3,15,10,1947,1342,129.8,134.2,3289,1096.333333,-1,artimen.cn
ifc.wps.cn,1,1,1,1,1,1,1,2,0,104,0,52,0,104,104,-1,wps.cn
chn.ospserver.net,2,2,3,2,1.333333333,1,1.5,20,22,2865,6015,143.25,273.4090909,4440,2960,-1,ospserver.net
lightcone.jd.com,1,1,3,1,0.333333333,1,3,31,31,4665,10878,150.483871,350.9032258,15543,5181,1,jd.com
outlook.office.com,1,1,2,1,0.5,1,2,39,37,7973,17753,204.4358974,479.8108108,25726,12863,-1,office.com
acttg.eastmoney.com,1,1,4,1,0.25,1,4,43,48,9862,21609,229.3488372,450.1875,31471,7867.75,1,eastmoney.com
mb.lenovomm.com,1,1,107,1,0.009345794,1,107,365,321,53249,90578,145.8876712,282.1744548,143827,1344.17757,1,lenovomm.com
dimg03.c-ctrip.com,1,1,2,1,0.5,1,2,441,528,21443,673978,48.62358277,1276.473485,695421,347710.5,-1,c-ctrip.com
mybixby-kr1-prd.sbixby.com,2,7,60,0.571428571,0.816666667,3.5,8.571428571,838,970,109062,478905,130.1455847,493.7164948,83995.28571,9799.45,-1,sbixby.com
ip-api.com,1,1,1,1,1,1,1,5,4,595,689,119,172.25,1284,1284,-1,ip-api.com
zhangwuji.hoopchina.com,2,2,5,2,0.8,1,2.5,38,25,2686,1499,70.68421053,59.96,2092.5,837,-1,hoopchina.com
androidapi22.tadu.com,2,2,16,2,0.25,1,8,92,61,12398,9464,134.7608696,155.147541,10931,1366.375,1,tadu.com
adun.v3lite.com,1,1,1,1,1,1,1,6,5,650,1494,108.3333333,298.8,2144,2144,-1,v3lite.com
server20803.teamviewer.com,1,1,1,1,1,1,1,36,29,6154,14649,170.9444444,505.137931,20803,20803,1,teamviewer.com
log.mmm.io,1,1,1,1,1,1,1,5,0,260,0,52,0,260,260,-1,mmm.io
szz.zmetsh.com,1,1,169,1,0.00591716,1,169,4130,2364,188095,122094,45.54358354,51.64720812,310189,1835.43787,0,zmetsh.com
pic.fastapi.net,1,1,2,1,0.5,1,2,11,9,1518,1996,138,221.7777778,3514,1757,-1,fastapi.net
feie.primee.cn,1,1,72,1,0.013888889,1,72,2779,2800,138764,138984,49.93306945,49.63714286,277748,3857.611111,0,primee.cn
cps.eastmoney.com,2,2,4,2,1,1,2,34,20,4646,7798,136.6470588,389.9,6222,3111,1,eastmoney.com
carappcenter.com.cn,1,1,88,1,0.011363636,1,88,230,0,23690,0,103,0,23690,269.2045455,-1,carappcenter.com.cn
jiehong-china.com,1,2,274,0.5,0.01459854,2,137,9409,6748,855209,407238,90.89265597,60.34943687,631223.5,4607.470803,0,jiehong-china.com
level3.cedexis-test.com,1,1,2,1,0.5,1,2,38,28,8574,17238,225.6315789,615.6428571,25812,12906,-1,cedexis-test.com
gamesafe.qq.com,66,69,855,63.13043478,5.568421053,1.045454545,12.39130435,24117,20064,14563937,1287438,603.8867604,64.16656699,229730.0725,18539.61988,1,qq.com
was.kypt.cn,16,140,7191,1.828571429,2.725629259,8.75,51.36428571,348220,220991,48171100,13434638,138.3352478,60.79269292,440040.9857,8567.061327,0,kypt.cn
n.woewr.cn,9,9,122,9,0.663934426,1,13.55555556,2584,3176,163884,3944893,63.42260062,1242.094773,456530.7778,33678.5,-1,woewr.cn
ip.a9gps.com,4,8,494,2,0.129554656,2,61.75,4487,4230,503175,223849,112.1406285,52.91938534,90878,1471.708502,0,a9gps.com
d.vodofo.com,29,2345,7183,0.358635394,765.5610469,80.86206897,3.063113006,58496,45442,4920904,9254594,84.12376915,203.6572774,6044.988486,1973.478769,1,vodofo.com
download1.bankcomm.com,4,4,22,4,0.727272727,1,5.5,24691,50088,1002688,69245980,40.60945284,1382.486424,17562167,3193121.273,0,bankcomm.com
app.hp888.com,5,419,9716,0.059665871,18.06926719,83.8,23.18854415,49375,42990,3067118,4357389,62.11884557,101.3581996,17719.58711,764.1526348,1,hp888.com
m.youku.com,40,41,377,39.02439024,4.458885942,1.025,9.195121951,118438,369230,5383053,513464553,45.45038754,1390.636062,12654819.66,1376253.597,1,youku.com
i1.douguo.net,17,21,164,13.76190476,2.68902439,1.235294118,7.80952381,10624,12525,608013,16530803,57.23013931,1319.824591,816134.0952,104504.9756,-1,douguo.net
www.youku.com,34,34,249,34,4.642570281,1,7.323529412,1866,1374,264166,384712,141.56806,279.9941776,19084.64706,2605.935743,1,youku.com
ts.dingdangddc.com,1,114,7466,0.00877193,1.740691133,114,65.49122807,201680,133130,11777428,7774080,58.39660849,58.39465184,171504.4561,2618.739352,0,dingdangddc.com
wadata.aligames.com,2,2,50,2,0.08,1,25,442,332,57015,117443,128.9932127,353.7439759,87229,3489.16,-1,aligames.com
api.vungle.com,4,4,13,4,1.230769231,1,3.25,196,218,33426,116864,170.5408163,536.0733945,37572.5,11560.76923,-1,vungle.com
upgrade.prismcdn.com,1,1,1,1,1,1,1,6,5,462,481,77,96.2,943,943,-1,prismcdn.com
182.tcnvmms.com,4,15,2145,1.066666667,0.104895105,3.75,143,39803,21110,3114206,1851836,78.24048439,87.72316438,331069.4667,2315.171096,0,tcnvmms.com
sjk.ijinshan.com,3,3,24,3,0.375,1,8,77,0,4620,0,60,0,1540,192.5,-1,ijinshan.com
3g.males120.com,1,1,31,1,0.032258065,1,31,202,188,23733,210340,117.490099,1118.829787,234073,7550.741935,-1,males120.com
engine.lvehaisen.com,7,7,12,7,4.083333333,1,1.714285714,165,149,27305,62336,165.4848485,418.3624161,12805.85714,7470.083333,-1,lvehaisen.com
xsolid.baidu.com,11,13,176,9.307692308,0.960227273,1.181818182,13.53846154,3979,4045,362625,1603916,91.13470721,396.5181706,151272.3846,11173.52841,1,baidu.com
upush.meizu.com,15,17,146,13.23529412,1.979452055,1.133333333,8.588235294,780,572,99163,274491,127.1320513,479.8793706,21979.64706,2559.273973,1,meizu.com
wap3.ucweb.com,4,4,6,4,2.666666667,1,1.5,81,80,7103,80402,87.69135802,1005.025,21876.25,14584.16667,1,ucweb.com
download2.ctrip.com,8,8,181,8,0.35359116,1,22.625,1444,1840,107037,1694980,74.12534626,921.1847826,225252.125,9955.895028,1,ctrip.com
os.qiku.com,6,8,1023,4.5,0.062561095,1.333333333,127.875,6001,3140,705618,1288149,117.5834028,410.238535,249220.875,1948.941349,0,qiku.com
baidu.clb6.net,1,1,3,1,0.333333333,1,3,37,33,4761,15305,128.6756757,463.7878788,20066,6688.666667,-1,clb6.net
static.doubleclick.net,4,6,12,2.666666667,3,1.5,2,95,107,22257,49341,234.2842105,461.1308411,11933,5966.5,-1,doubleclick.net
udcm.yahoo.com,2,2,4,2,1,1,2,102,89,32122,28178,314.9215686,316.6067416,30150,15075,1,yahoo.com
store.gf.com.cn,1,1,17,1,0.058823529,1,17,197,164,19452,78529,98.74111675,478.8353659,97981,5763.588235,-1,gf.com.cn
lightcone.58.com,2,2,15,2,0.266666667,1,7.5,51,55,9564,7119,187.5294118,129.4363636,8341.5,1112.2,1,58.com
edc0.imecare.com,6,12,475,3,0.303157895,2,39.58333333,3183,2844,171212,164484,53.78950675,57.83544304,27974.66667,706.7284211,0,imecare.com
p65655.cdnga.net,1,1,1,1,1,1,1,4,0,256,0,64,0,256,256,-1,cdnga.net
api.xueqiu.com,2,2,52,2,0.076923077,1,26,343,274,31733,76304,92.51603499,278.4817518,54018.5,2077.634615,-1,xueqiu.com
lg.snssdk.com,6,6,195,6,0.184615385,1,32.5,2978,2493,1121704,1332113,376.6635326,534.3413558,408969.5,12583.67692,1,snssdk.com
tpay.sktelecom.com,1,1,4,1,0.25,1,4,48,36,17513,10121,364.8541667,281.1388889,27634,6908.5,-1,sktelecom.com
cdog.vstchina.com,1,1,70,1,0.014285714,1,70,450,380,49272,50273,109.4933333,132.2973684,99545,1422.071429,0,vstchina.com
sx17.sxdl518.com,2,3,9,1.333333333,1,1.5,3,68,66,11364,3456,167.1176471,52.36363636,4940,1646.666667,0,sxdl518.com
rtx.tencent.com,9,9,46,9,1.760869565,1,5.111111111,200,162,54523,17508,272.615,108.0740741,8003.444444,1565.891304,-1,tencent.com
server25004.teamviewer.com,2,3,9,1.333333333,1,1.5,3,93,80,11059,18572,118.9139785,232.15,9877,3292.333333,1,teamviewer.com
api.bybutter.com,1,1,4,1,0.25,1,4,43,49,5827,17658,135.5116279,360.3673469,23485,5871.25,-1,bybutter.com
sz2.tencent.com,2,2,3,2,1.333333333,1,1.5,3,3,479,475,159.6666667,158.3333333,477,318,-1,tencent.com
pybgp.didichuxing.com,2,2,4,2,1,1,2,55,45,15737,19988,286.1272727,444.1777778,17862.5,8931.25,-1,didichuxing.com
log.julanling.com,3,3,3,3,3,1,1,30,24,7685,1710,256.1666667,71.25,3131.666667,3131.666667,-1,julanling.com
api.micromsc.net,1,1,30,1,0.033333333,1,30,204,184,21827,96089,106.995098,522.2228261,117916,3930.533333,1,micromsc.net
www.zenitech.cn,1,1,1,1,1,1,1,6,4,565,233,94.16666667,58.25,798,798,-1,zenitech.cn
g.uc.cn,1,1,59,1,0.016949153,1,59,314,165,66227,65608,210.9140127,397.6242424,131835,2234.491525,1,uc.cn
otms.allinpay.com,1,1,22,1,0.045454545,1,22,420,402,73754,175159,175.6047619,435.7189055,248913,11314.22727,-1,allinpay.com
v-7011011f.71edge.com,1,1,1,1,1,1,1,1,1,52,40,52,40,92,92,-1,71edge.com
ark.qq.com,265,299,2380,234.8662207,37.56344538,1.128301887,7.959866221,54215,72780,3148195,85763066,58.06870792,1178.387826,297362.0769,37357.67269,1,qq.com
pic4.qiyipic.com,40,46,1021,34.7826087,2.072477963,1.15,22.19565217,12319,13367,736515,13119692,59.78691452,981.498616,301221.8913,13571.21156,1,qiyipic.com
pdata.soundtooth.cn,1,11,694,0.090909091,0.174351585,11,63.09090909,68404,67930,10465276,2894036,152.9921642,42.60320919,1214482.909,19249.72911,0,soundtooth.cn
iot.friggatech.com,8,9,462,7.111111111,0.175324675,1.125,51.33333333,3287,5465,307279,323230,93.4831153,59.14547118,70056.55556,1364.738095,0,friggatech.com
p-beha.ksmobile.com,4,4,17,4,0.941176471,1,4.25,89,66,23399,5644,262.9101124,85.51515152,7260.75,1708.411765,0,ksmobile.com
autoimg.carcdn.com,24,25,93,23.04,6.720430108,1.041666667,3.72,6479,8561,424770,9355446,65.56104337,1092.798271,391208.64,105163.6129,-1,carcdn.com
api-33-0-0.twitter.com,15,27,150,8.333333333,4.86,1.8,5.555555556,464,0,34554,0,74.46982759,0,1279.777778,230.36,-1,twitter.com
fall.qiyutianxia.com,1,1,6,1,0.166666667,1,6,24,12,1080,552,45,46,1632,272,1,qiyutianxia.com
p2p.qq.com,9,9,43,9,1.88372093,1,4.777777778,147,61,7383,3326,50.2244898,54.52459016,1189.888889,249.0465116,1,qq.com
dotcounter.douyucdn.cn,7,7,290,7,0.168965517,1,41.42857143,5582,5318,614951,3143669,110.1667861,591.1374577,536945.7143,12960.75862,1,douyucdn.cn
dxl.sankuai.com,9,26,340,3.115384615,1.988235294,2.888888889,13.07692308,2476,1884,132314,114435,53.43861066,60.74044586,9490.346154,725.7323529,0,sankuai.com
mtasksvr.networkbench.com,2,2,572,2,0.006993007,1,286,2879,2849,618117,358667,214.6985064,125.8922429,488392,1707.664336,1,networkbench.com
pjsmmm.gameloft.com,1,1,22,1,0.045454545,1,22,369,305,78741,140669,213.3902439,461.2098361,219410,9973.181818,-1,gameloft.com
docerad.wps.cn,1,1,1,1,1,1,1,4,2,172,88,43,44,260,260,-1,wps.cn
dns.w1501.com,3,11,569,0.818181818,0.212653779,3.666666667,51.72727273,11936,11473,4414004,680876,369.8059651,59.34594265,463170.9091,8954.094903,-1,w1501.com
mus.lenovo.com,1,1,20,1,0.05,1,20,60,0,3120,0,52,0,3120,156,1,lenovo.com
m.thepaper.cn,2,2,2,2,2,1,1,46,45,4519,19228,98.23913043,427.2888889,11873.5,11873.5,-1,thepaper.cn
yunosdsp-img.alicdn.com,28,28,145,28,5.406896552,1,5.178571429,2441,2584,176911,2533762,72.47480541,980.5580495,96809.75,18694.29655,1,alicdn.com
accounts.google.com,16,43,578,5.953488372,3.198961938,2.6875,13.44186047,1726,0,422480,0,244.774044,0,9825.116279,730.9342561,1,google.com
nchat.naver.com,1,3,5,0.333333333,1.8,3,1.666666667,144,131,16529,33328,114.7847222,254.4122137,16619,9971.4,1,naver.com
mp.vip.com,5,5,18,5,1.388888889,1,3.6,73,58,9867,3432,135.1643836,59.17241379,2659.8,738.8333333,-1,vip.com
upload1.95171.cn,1,1,2,1,0.5,1,2,71,68,4487,74481,63.1971831,1095.308824,78968,39484,-1,95171.cn
xgate.pmac.com.cn,2,3,421,1.333333333,0.021377672,1.5,140.3333333,8228,4375,437294,237390,53.14705882,54.26057143,224894.6667,1602.574822,-1,pmac.com.cn
ad-exchange.toast.com,1,1,2,1,0.5,1,2,10,8,2279,482,227.9,60.25,2761,1380.5,-1,toast.com
www.cnblogs.com,1,1,3,1,0.333333333,1,3,67,78,6650,50060,99.25373134,641.7948718,56710,18903.33333,-1,cnblogs.com
d.applvn.com,1,1,2,1,0.5,1,2,22,20,2734,8135,124.2727273,406.75,10869,5434.5,-1,applvn.com
lbsmqtt.makuiot.com,1,2,45,0.5,0.088888889,2,22.5,241,235,22698,9806,94.18257261,41.72765957,16252,722.3111111,-1,makuiot.com
ssgame.qq.com,1,1,1,1,1,1,1,5,0,300,0,60,0,300,300,1,qq.com
esg-sso-mt.sf-express.com,2,5,73,0.8,0.342465753,2.5,14.6,719,516,128781,254039,179.1112656,492.3236434,76564,5244.109589,0,sf-express.com
www.estrongs.com,4,4,29,4,0.551724138,1,7.25,138,75,18208,7296,131.942029,97.28,6376,879.4482759,-1,estrongs.com
tm.fycpu.com,1,6,3132,0.166666667,0.011494253,6,522,15976,15169,1129178,869202,70.67964447,57.30120641,333063.3333,638.0523627,-1,fycpu.com
mdm.basewin.com,3,12,308,0.75,0.467532468,4,25.66666667,1381,895,149183,155839,108.025344,174.1217877,25418.5,990.3311688,0,basewin.com
www.the-x.cn,3,3,21,3,0.428571429,1,7,146,94,22892,10345,156.7945205,110.0531915,11079,1582.714286,-1,the-x.cn
egame.qq.com,2,2,20,2,0.2,1,10,277,270,22523,126019,81.31046931,466.737037,74271,7427.1,1,qq.com
google-analytics.com,2,2,22,2,0.181818182,1,11,75,0,4892,0,65.22666667,0,2446,222.3636364,-1,google-analytics.com
btlend.jd.com,1,1,2,1,0.5,1,2,62,76,10126,72876,163.3225806,958.8947368,83002,41501,1,jd.com
xlz1.cfzq.com,1,1,20,1,0.05,1,20,261,235,23488,127619,89.99233716,543.0595745,151107,7555.35,-1,cfzq.com
ac.jice.io,2,2,149,2,0.026845638,1,74.5,1027,829,180627,378550,175.8782863,456.6344994,279588.5,3752.865772,-1,jice.io
server25403.teamviewer.com,1,2,4,0.5,1,2,2,122,88,12166,11922,99.72131148,135.4772727,12044,6022,1,teamviewer.com
www.hjc095.com,1,1,3,1,0.333333333,1,3,12,7,612,368,51,52.57142857,980,326.6666667,-1,hjc095.com
alpha.elenet.me,1,1,1,1,1,1,1,2,0,120,0,60,0,120,120,-1,elenet.me
www.linktrip.com,1,1,427,1,0.00234192,1,427,2105,1724,138816,93416,65.94584323,54.18561485,232232,543.8688525,0,linktrip.com
55666w.top,1,1,4,1,0.25,1,4,22,12,2479,2187,112.6818182,182.25,4666,1166.5,-1,55666w.top
campaign.ad-brix.com,1,5,7,0.2,3.571428571,5,1.4,71,70,8160,33023,114.9295775,471.7571429,8236.6,5883.285714,-1,ad-brix.com
zhuishu.lsread.cn,3,3,48,3,0.1875,1,16,631,583,131079,421693,207.7321712,723.3156089,184257.3333,11516.08333,-1,lsread.cn
rs1.easemob.com,2,2,6,2,0.666666667,1,3,57,44,3946,22099,69.22807018,502.25,13022.5,4340.833333,-1,easemob.com
yinxin.ccb.com,2,2,4,2,1,1,2,44,29,8742,7684,198.6818182,264.9655172,8213,4106.5,0,ccb.com
dcys.ksmobile.com,1,4,40,0.25,0.4,4,10,234,355,49971,244104,213.5512821,687.6169014,73518.75,7351.875,0,ksmobile.com
myrotationurl.com,1,1,3,1,0.333333333,1,3,10,7,1390,1294,139,184.8571429,2684,894.6666667,-1,myrotationurl.com
v4.metrolife.mobi,1,1,127,1,0.007874016,1,127,6138,10655,277472,13684095,45.20560443,1284.288597,13961567,109933.5984,-1,metrolife.mobi
vsp.metro.info,1,1,60,1,0.016666667,1,60,1560,1078,1014717,211875,650.4596154,196.5445269,1226592,20443.2,0,metro.info
oapi.megaims2.com,1,1,23,1,0.043478261,1,23,18043,18167,1506178,4390808,83.47713795,241.6914185,5896986,256390.6957,-1,megaims2.com
wb-api.briniclemobile.com,1,2,4,0.5,1,2,2,88,75,12673,45168,144.0113636,602.24,28920.5,14460.25,-1,briniclemobile.com
qxxz.org,1,1,52,1,0.019230769,1,52,259,231,52130,127368,201.2741313,551.3766234,179498,3451.884615,-1,qxxz.org
www.00at0.cn,1,1,5,1,0.2,1,5,50,46,4731,46596,94.62,1012.956522,51327,10265.4,-1,00at0.cn
down4.ucweb.com,1,1,1,1,1,1,1,6,4,435,663,72.5,165.75,1098,1098,1,ucweb.com
www.pj-motor.com,1,1,2,1,0.5,1,2,44,62,2181,75816,49.56818182,1222.83871,77997,38998.5,-1,pj-motor.com
m.fkkse.com,1,1,15,1,0.066666667,1,15,73,64,9684,23547,132.6575342,367.921875,33231,2215.4,-1,fkkse.com
lockscreen.ibimuyu.com,2,2,5,2,0.8,1,2.5,16,15,1803,5042,112.6875,336.1333333,3422.5,1369,1,ibimuyu.com
mcom.amwaynet.com.cn,1,1,2,1,0.5,1,2,12,12,951,1439,79.25,119.9166667,2390,1195,-1,amwaynet.com.cn
cn-smp-device.apple.com,1,1,2,1,0.5,1,2,48,37,19701,16288,410.4375,440.2162162,35989,17994.5,1,apple.com
cards.iqiyi.com,23,23,199,23,2.658291457,1,8.652173913,3799,4432,420276,3865052,110.62806,872.0785199,186318.6087,21534.31156,1,iqiyi.com
openapi-mobile.youku.com,31,32,211,30.03125,4.853080569,1.032258065,6.59375,2005,1636,288010,729300,143.6458853,445.7823961,31790.9375,4821.374408,1,youku.com
maps.google.ca,24,36,179,16,7.240223464,1.5,4.972222222,616,0,37420,0,60.74675325,0,1039.444444,209.0502793,-1,google.ca
socol.amap.com,108,175,1739,66.65142857,17.6106958,1.62037037,9.937142857,8787,5594,1146705,1268187,130.5001707,226.7048624,13799.38286,1388.66705,1,amap.com
jointoper.vivo.com.cn,3,3,4,3,2.25,1,1.333333333,49,41,6859,21218,139.9795918,517.5121951,9359,7019.25,1,vivo.com.cn
yh.jianzhimao.com,2,2,71,2,0.056338028,1,35.5,308,228,48316,155309,156.8701299,681.1798246,101812.5,2867.957746,-1,jianzhimao.com
www.iqair.cn,1,1,91,1,0.010989011,1,91,2214,2862,171568,3563941,77.49232159,1245.262404,3735509,41049.54945,-1,iqair.cn
static.yximgs.com,53,54,436,52.01851852,6.688073394,1.018867925,8.074074074,42787,64716,2173299,86374949,50.79344193,1334.676881,1639782.37,203092.3119,1,yximgs.com
cdn.b612.net,6,6,10,6,3.6,1,1.666666667,118,138,14998,107740,127.1016949,780.7246377,20456.33333,12273.8,-1,b612.net
u3.ucweb.com,58,60,10595,56.06666667,0.339782916,1.034482759,176.5833333,85942,78504,6673732,59060992,77.65390612,752.3309895,1095578.733,6204.315621,1,ucweb.com
client.vgabc.com,1,1,1,1,1,1,1,14,12,1208,8744,86.28571429,728.6666667,9952,9952,1,vgabc.com
dtwscache.ourwebcdn.com,7,19,118,2.578947368,3.059322034,2.714285714,6.210526316,619,0,39568,0,63.92245557,0,2082.526316,335.3220339,-1,ourwebcdn.com
domain03.zhangyue03.com,1,1,1,1,1,1,1,5,5,423,1323,84.6,264.6,1746,1746,-1,zhangyue03.com
zuzuapi.jd.com,1,1,2,1,0.5,1,2,14,12,3678,5649,262.7142857,470.75,9327,4663.5,1,jd.com
onesignal.com,2,6,60,0.666666667,0.6,3,10,569,577,73116,215671,128.4991213,373.779896,48131.16667,4813.116667,-1,onesignal.com
iot.dato88.com,3,35,5173,0.257142857,0.236806495,11.66666667,147.8,5885,5933,343125,318933,58.30501274,53.7557728,18915.94286,127.9833752,0,dato88.com
insight.adsrvr.org,4,8,17,2,3.764705882,2,2.125,131,83,43806,51003,334.3969466,614.4939759,11851.125,5577,-1,adsrvr.org
yygame.duowan.com,3,3,14,3,0.642857143,1,4.666666667,78,74,5383,45559,69.01282051,615.6621622,16980.66667,3638.714286,-1,duowan.com
f12.baidu.com,2,2,42,2,0.095238095,1,21,406,679,19201,47978,47.29310345,70.65979381,33589.5,1599.5,1,baidu.com
p2p7.cloudlinks.cn,1,1,22,1,0.045454545,1,22,29,16,1740,2240,60,140,3980,180.9090909,-1,cloudlinks.cn
static.dable.io,1,1,27,1,0.037037037,1,27,156,196,21856,180932,140.1025641,923.122449,202788,7510.666667,-1,dable.io
dace.hupu.com,3,3,23,3,0.391304348,1,7.666666667,140,115,17912,16679,127.9428571,145.0347826,11530.33333,1503.956522,1,hupu.com
api.immomo.com,16,16,643,16,0.398133748,1,40.1875,7642,7355,1313725,4371099,171.9085318,594.3030591,355301.5,8841.094868,-1,immomo.com
bookthumb-phinf.pstatic.net,1,10,133,0.1,0.751879699,10,13.3,3240,5321,333835,5558065,103.0354938,1044.552716,589190,44300,1,pstatic.net
static.maxxipoint.com,1,1,1,1,1,1,1,7,5,966,684,138,136.8,1650,1650,-1,maxxipoint.com
de-dus-pls-r011.teamviewer.com,1,3,9,0.333333333,1,3,3,177,174,28144,54987,159.0056497,316.0172414,27710.33333,9236.777778,1,teamviewer.com
pnsticket-service.jdpay.com,3,3,34,3,0.264705882,1,11.33333333,176,170,20480,15772,116.3636364,92.77647059,12084,1066.235294,-1,jdpay.com
acshow2.kugou.com,1,1,2,1,0.5,1,2,28,18,1705,1471,60.89285714,81.72222222,3176,1588,1,kugou.com
